image,iou,iou_optimal,gap,runtime
Tp_D_CRN_M_N_art00067_nat00095_11807.jpg,0.9357,0.9357,0.0,0.866
Tp_D_CRN_M_N_art00067_nat10122_11806.jpg,0.9473,0.9473,0.0,0.807
Tp_D_CRN_M_N_art00097_art00049_11758.jpg,0.9341,0.9341,0.0,0.732
Tp_D_CRN_M_N_art10107_cha10112_11582.jpg,0.3987,0.3987,0.0,0.73
Tp_D_CRN_M_N_art10112_cha00086_11672.jpg,0.6373,0.6373,0.0,0.732
Tp_D_CRN_M_N_art10113_cha00067_11650.jpg,0.972,0.972,0.0,0.792
Tp_D_CRN_M_N_art10115_cha00086_11526.jpg,0.724,0.724,0.0,0.731
Tp_D_CRN_M_N_cha00035_cha00040_11732.jpg,0.8004,0.8004,0.0,0.728
Tp_D_CRN_M_N_cha00050_cha00026_11787.jpg,0.8784,0.8784,0.0,0.764
Tp_D_CRN_M_N_cha00060_cha00040_11678.jpg,0.9106,0.9106,0.0,0.744
Tp_D_CRN_M_N_cha00062_cha00040_11020.jpg,0.9125,0.9125,0.0,0.765
Tp_D_CRN_M_N_cha00094_cha00086_11501.jpg,0.7841,0.7841,0.0,0.729
Tp_D_CRN_M_N_cha10108_cha00027_11666.jpg,0.4061,0.4061,0.0,0.717
Tp_D_CRN_M_N_cha10108_cha00040_11665.jpg,0.7235,0.7235,0.0,0.727
Tp_D_CRN_M_N_cha10137_art00021_12210.jpg,0.8579,0.8579,0.0,0.736
Tp_D_CRN_M_N_cha10162_nat10123_12253.jpg,0.9875,0.9875,0.0,0.83
Tp_D_CRN_M_N_cha10164_cha00026_12247.jpg,0.9012,0.9012,0.0,0.74
Tp_D_CRN_M_N_cha10166_nat10123_12273.jpg,0.9812,0.9812,0.0,0.825
Tp_D_CRN_M_N_cha10198_nat10123_12362.jpg,0.9395,0.9395,0.0,0.735
Tp_D_CRN_M_N_cha10198_nat10160_12365.jpg,0.8913,0.8913,0.0,0.752
Tp_D_CRN_M_N_ind00008_pla00050_10422.tif,0.7931,0.7931,0.0,0.735
Tp_D_CRN_M_N_ind00010_pla00050_10424.tif,0.8072,0.8072,0.0,0.731
Tp_D_CRN_M_N_nat00002_nat10124_11514.jpg,0.9939,0.9939,0.0,0.87
Tp_D_CRN_M_N_nat00008_art00025_11425.jpg,0.7921,0.7921,0.0,0.759
Tp_D_CRN_M_N_nat00019_nat00024_11047.jpg,0.9493,0.9493,0.0,0.832
Tp_D_CRN_M_N_nat00019_nat00028_11048.jpg,0.9507,0.9507,0.0,0.776
Tp_D_CRN_M_N_nat00032_art00025_11427.jpg,0.8871,0.8871,0.0,0.784
Tp_D_CRN_M_N_nat00038_art00021_11428.jpg,0.8823,0.8823,0.0,0.761
Tp_D_CRN_M_N_nat00041_nat00061_11438.jpg,0.9367,0.9367,0.0,0.794
Tp_D_CRN_M_N_nat00083_ani00001_10097.tif,0.9805,0.9805,0.0,0.752
Tp_D_CRN_M_N_nat00083_ani10101_10096.tif,0.5389,0.5389,0.0,0.712
Tp_D_CRN_M_N_nat00084_nat00033_10072.tif,0.9974,0.9974,0.0,0.843
Tp_D_CRN_M_N_nat00084_nat00086_10073.tif,0.9733,0.9733,0.0,0.902
Tp_D_CRN_M_N_nat00084_nat00095_10070.tif,0.9841,0.9841,0.0,0.896
Tp_D_CRN_M_N_nat00084_nat00099_10071.tif,0.9781,0.9781,0.0,0.88
Tp_D_CRN_M_N_nat00085_nat00073_10591.jpg,0.9197,0.9197,0.0,0.769
Tp_D_CRN_M_N_nat00086_nat00085_10068.tif,0.6868,0.6868,0.0,0.835
Tp_D_CRN_M_N_nat10116_cha00026_11674.jpg,0.9085,0.9085,0.0,0.798
Tp_D_CRN_M_N_nat10129_cha00086_11522.jpg,0.8696,0.8696,0.0,0.764
Tp_D_CRN_M_N_nat10130_cha00086_11523.jpg,0.9006,0.9006,0.0,0.764
Tp_D_CRN_M_N_nat10131_nat00059_11908.jpg,0.9911,0.9911,0.0,0.85
Tp_D_CRN_M_N_nat10131_nat00095_11907.jpg,0.9922,0.9922,0.0,0.863
Tp_D_CRN_M_N_nat10131_nat10124_11906.jpg,0.9889,0.9889,0.0,0.803
Tp_D_CRN_M_N_nat10139_nat10124_11946.jpg,0.9722,0.9722,0.0,0.912
Tp_D_CRN_M_N_nat10144_nat10125_11968.jpg,0.9738,0.9738,0.0,0.892
Tp_D_CRN_M_N_nat10149_nat00013_12004.jpg,0.9872,0.9872,0.0,0.851
Tp_D_CRN_M_N_nat10154_nat10138_12076.jpg,0.9727,0.9727,0.0,0.89
Tp_D_CRN_M_N_nat10154_nat10140_12075.jpg,0.9784,0.9784,0.0,0.8
Tp_D_CRN_M_N_nat10156_ani00001_12021.jpg,0.7599,0.7599,0.0,0.741
Tp_D_CRN_M_N_nat10157_nat00013_12048.jpg,0.9963,0.9963,0.0,0.879
Tp_D_CRN_M_N_nat10160_nat10123_12068.jpg,0.9962,0.9962,0.0,0.881
Tp_D_CRN_M_N_nat10161_nat10157_12081.jpg,0.988,0.988,0.0,0.894
Tp_D_CRN_M_N_nat10164_nat00021_12098.jpg,0.8996,0.8996,0.0,0.788
Tp_D_CRN_M_N_nat10165_nat10164_12099.jpg,0.9853,0.9853,0.0,0.743
Tp_D_CRN_M_N_pla00010_pla00020_10001.tif,0.9216,0.9216,0.0,0.721
Tp_D_CRN_M_N_pla00026_pla00038_10147.tif,0.8813,0.8813,0.0,0.714
Tp_D_CRN_M_N_pla00035_pla00033_10997.jpg,0.7273,0.7273,0.0,0.715
Tp_D_CRN_M_N_pla00046_pla00025_10994.jpg,0.7806,0.7806,0.0,0.725
Tp_D_CRN_M_N_pla10110_sec00046_10119.tif,0.9921,0.9921,0.0,0.804
Tp_D_CRN_M_N_sec00015_cha00086_11400.jpg,0.681,0.681,0.0,0.743
Tp_D_CRN_M_N_txt00002_txt00032_10300.tif,0.922,0.922,0.0,0.857
Tp_D_CRN_M_N_txt00017_txt00063_10836.jpg,0.9616,0.9616,0.0,0.909
Tp_D_CRN_M_N_txt00050_txt00049_10368.tif,0.9205,0.9205,0.0,0.77
Tp_D_CRN_M_N_txt00063_txt00017_10835.jpg,0.9758,0.9758,0.0,0.89
Tp_D_CRN_M_O_ani00030_ani00079_10003.tif,0.7753,0.7753,0.0,0.752
Tp_D_CRN_M_O_ani00065_ani00041_10036.tif,0.9376,0.9376,0.0,0.777
Tp_D_CRN_M_O_ani00071_ani00013_10002.tif,0.6271,0.6271,0.0,0.759
Tp_D_CRN_M_O_arc00027_ani00030_10005.tif,0.6945,0.6945,0.0,0.736
Tp_D_CRN_M_O_art00010_art00009_10166.tif,0.9316,0.9316,0.0,0.831
Tp_D_CRN_M_O_art10113_art10112_11560.jpg,0.9136,0.9136,0.0,0.78
Tp_D_CRN_M_O_nat00013_ani00070_11413.jpg,0.7656,0.7656,0.0,0.73
Tp_D_CRN_M_O_nat10159_ani00001_12057.jpg,0.3818,0.3818,0.0,0.718
Tp_D_CRN_M_O_pla10102_ani10104_10028.tif,0.9698,0.9698,0.0,0.774
Tp_D_CRN_S_B_ani00014_ani00015_00134.tif,0.7665,0.7665,0.0,0.748
Tp_D_CRN_S_B_art00098_ani00070_01383.tif,0.7995,0.7995,0.0,0.748
Tp_D_CRN_S_B_art20030_art20032_02494.tif,0.8877,0.8877,0.0,0.762
Tp_D_CRN_S_B_cha00056_ani00070_00376.tif,0.689,0.689,0.0,0.734
Tp_D_CRN_S_B_cha00082_cha00050_00402.tif,0.8006,0.8006,0.0,0.761
Tp_D_CRN_S_B_cha00083_cha00065_00403.tif,0.709,0.709,0.0,0.74
Tp_D_CRN_S_B_cha00085_ani00064_00405.tif,0.4382,0.4382,0.0,0.723
Tp_D_CRN_S_B_cha00093_ani00061_00413.tif,0.8046,0.8046,0.0,0.74
Tp_D_CRN_S_B_ind00029_art00030_20103.jpg,0.7657,0.7657,0.0,0.758
Tp_D_CRN_S_B_nat00030_arc00029_20104.jpg,0.8669,0.8669,0.0,0.746
Tp_D_CRN_S_B_nat10153_ani00001_12136.jpg,0.8779,0.8779,0.0,0.73
Tp_D_CRN_S_B_pla00041_pla00040_10978.jpg,0.8207,0.8207,0.0,0.721
Tp_D_CRN_S_B_pla00071_pla00070_11214.jpg,0.869,0.869,0.0,0.757
Tp_D_CRN_S_B_sec00004_ind00069_00024.tif,0.6935,0.6935,0.0,0.754
Tp_D_CRN_S_B_sec00050_sec00055_11246.jpg,0.7572,0.7572,0.0,0.727
Tp_D_CRN_S_B_sec00093_sec00098_00113.tif,0.342,0.342,0.0,0.727
Tp_D_CRN_S_N_ani00008_ani00011_10221.tif,0.6409,0.6409,0.0,0.725
Tp_D_CRN_S_N_ani00019_ani00055_11862.jpg,0.8854,0.8854,0.0,0.74
Tp_D_CRN_S_N_ani00050_ani00019_11856.jpg,0.7298,0.7298,0.0,0.748
Tp_D_CRN_S_N_ani00054_ani00019_11859.jpg,0.8675,0.8675,0.0,0.741
Tp_D_CRN_S_N_ani00055_ani00019_11860.jpg,0.8667,0.8667,0.0,0.759
